# Serial Log - 2026-04-11T16:49:27.742250
# Port: COM24 @ 115200bps
#============================================================
[16:49:27.751] ,-1927.00
[16:49:42.551] 506.00,-2322.00,-860.00
[16:49:42.591] 541.00,-2335.00,-765.00
[16:49:42.630] 541.00,-2322.00,-675.00
[16:49:42.672] 531.00,-2322.00,-590.00
[16:49:42.711] 518.00,-2327.00,-517.00
[16:49:42.752] 518.00,-2293.00,-408.00
[16:49:42.790] 580.00,-2270.00,-367.00
[16:49:42.831] 648.00,-2243.00,-311.00
[16:49:42.870] 705.00,-2216.00,-298.00
[16:49:42.910] 748.00,-2208.00,-265.00
[16:49:42.951] 765.00,-2190.00,-260.00
[16:49:42.978] 716.00,-2180.00,-216.00
[16:49:43.033] 697.00,-2175.00,-175.00
[16:49:43.070] 618.00,-2190.00,-138.00
[16:49:43.110] 496.00,-2156.00,-37.00
[16:49:43.152] 445.00,-2132.00,46.00
[16:49:43.191] 403.00,-2106.00,87.00
[16:49:43.231] 342.00,-2080.00,133.00
[16:49:43.271] 316.00,-2082.00,146.00
[16:49:43.311] 196.00,-2085.00,141.00
[16:49:43.350] 73.00,-2090.00,115.00
[16:49:43.391] -88.00,-2103.00,87.00
[16:49:43.432] -257.00,-2098.00,22.00
[16:49:43.471] -423.00,-2066.00,-35.00
[16:49:43.510] -543.00,-2051.00,-120.00
[16:49:43.552] -590.00,-2047.00,-170.00
[16:49:43.591] -685.00,-2030.00,-270.00
[16:49:43.631] -743.00,-2030.00,-393.00
[16:49:43.670] -782.00,-2032.00,-510.00
[16:49:43.712] -795.00,-2037.00,-665.00
[16:49:43.751] -785.00,-2045.00,-731.00
[16:49:43.790] -782.00,-2030.00,-775.00
[16:49:43.832] -782.00,-2040.00,-777.00
[16:49:43.870] -790.00,-2047.00,-762.00
[16:49:43.913] -767.00,-2032.00,-752.00
[16:49:43.951] -767.00,-2040.00,-721.00
[16:49:43.990] -741.00,-2063.00,-721.00
[16:49:44.030] -695.00,-2101.00,-780.00
[16:49:44.070] -695.00,-2101.00,-780.00
[16:49:44.112] -702.00,-2111.00,-907.00
[16:49:44.151] -665.00,-2066.00,-1010.00
[16:49:44.190] -655.00,-2071.00,-1072.00
