# Serial Log - 2026-04-18T18:00:20.299994
# Port: COM36 @ 115200bps
#============================================================
[18:00:20.300] 4,-2.300,-172.118,5.298,5.482
[18:00:32.619] imu_att:-0.011,-12.003,-1.787,162.439,-21.147,-30.110
[18:00:32.659] imu_att:-0.149,-9.978,-1.860,168.959,-15.296,-29.712
[18:00:32.698] imu_att:-0.130,-7.793,-1.897,174.486,-9.289,-29.275
[18:00:32.740] imu_att:-0.236,-6.095,-1.882,178.669,-4.946,-28.785
[18:00:32.779] imu_att:-0.178,-4.571,-1.845,-178.949,-2.430,-28.269
[18:00:32.819] imu_att:-0.009,-3.188,-1.798,-175.796,0.803,-27.742
[18:00:32.858] imu_att:-0.160,-2.602,-1.734,-174.680,2.672,-27.196
[18:00:32.900] imu_att:-0.022,-2.228,-1.686,-174.790,2.649,-26.662
[18:00:32.939] imu_att:0.065,-1.761,-1.719,-173.155,3.664,-26.208
[18:00:32.979] imu_att:0.032,-1.274,-1.794,-174.063,3.319,-25.794
[18:00:33.019] imu_att:-0.170,0.169,-1.804,-171.222,4.673,-25.312
[18:00:33.058] imu_att:-0.209,-0.745,-1.805,-173.208,3.880,-24.818
[18:00:33.099] imu_att:0.071,0.208,-1.800,-172.183,5.277,-24.367
[18:00:33.139] imu_att:-0.031,0.099,-1.804,-171.196,5.881,-23.823
[18:00:33.179] imu_att:-0.152,-0.252,-1.802,-171.760,5.298,-23.319
[18:00:33.218] imu_att:-0.145,-0.287,-1.801,-172.285,4.724,-22.866
[18:00:33.260] imu_att:-0.084,-0.217,-1.805,-173.050,4.861,-22.314
[18:00:33.299] imu_att:-0.127,-0.213,-1.806,-173.031,4.210,-21.857
[18:00:33.339] imu_att:0.033,-0.167,-1.788,-173.048,4.727,-21.279
[18:00:33.379] imu_att:-0.108,-0.122,-1.787,-171.938,5.267,-20.817
[18:00:33.420] imu_att:-0.143,-0.083,-1.797,-171.675,5.517,-20.261
[18:00:33.459] imu_att:-0.076,-0.001,-1.804,-172.465,4.981,-19.751
