# Serial Log - 2026-04-18T18:22:06.119313
# Port: COM36 @ 115200bps
#============================================================
[18:22:11.997] imu_att:-0.046,0.048,-1.637,-178.646,-2.108,-2.259
[18:22:11.998] imu_mag3:-1022.325,-90.951,-1534.160
[18:22:12.036] imu_att:-0.052,0.039,-1.638,-179.121,-2.609,-2.305
[18:22:12.037] imu_mag3:-1022.245,-83.937,-1541.444
[18:22:12.078] imu_att:-0.052,0.037,-1.638,-178.290,-2.281,-2.341
[18:22:12.079] imu_mag3:-1004.632,-96.553,-1544.362
[18:22:12.117] imu_att:-0.061,0.052,-1.639,-178.528,-2.393,-2.329
[18:22:12.118] imu_mag3:-1029.253,-93.855,-1544.385
[18:22:12.157] imu_att:-0.050,0.046,-1.638,-179.597,-2.637,-2.319
[18:22:12.158] imu_mag3:-1012.303,-76.017,-1534.370
[18:22:12.197] imu_att:-0.049,0.054,-1.636,-178.843,-2.390,-2.365
[18:22:12.197] imu_mag3:-1029.195,-88.818,-1551.643
[18:22:12.237] imu_att:-0.051,0.030,-1.636,-178.794,-1.958,-2.304
[18:22:12.239] imu_mag3:-1017.370,-88.853,-1539.326
[18:22:12.277] imu_att:-0.062,0.012,-1.635,-179.429,-2.907,-2.368
[18:22:12.278] imu_mag3:-1032.058,-79.197,-1534.315
[18:22:12.317] imu_att:-0.066,0.028,-1.635,-178.368,-2.073,-2.404
[18:22:12.318] imu_mag3:-1024.350,-96.672,-1551.538
[18:22:12.357] imu_att:-0.070,0.028,-1.635,-178.737,-2.235,-2.348
[18:22:12.357] imu_mag3:-1017.384,-90.694,-1549.570
[18:22:12.398] imu_att:-0.061,0.032,-1.635,-178.834,-2.341,-2.339
[18:22:12.399] imu_mag3:-1035.118,-89.018,-1541.368
[18:22:12.437] imu_att:-0.069,0.031,-1.636,-178.826,-2.098,-2.324
[18:22:12.438] imu_mag3:-1017.370,-88.853,-1539.326
[18:22:12.477] imu_att:-0.093,0.052,-1.628,-179.083,-2.517,-2.321
[18:22:12.478] imu_mag3:-1012.402,-85.739,-1546.559
[18:22:12.517] imu_att:-0.073,0.484,-1.627,-179.142,-2.570,-2.327
[18:22:12.518] imu_mag3:-1024.222,-84.053,-1534.253
[18:22:12.557] imu_att:-0.117,1.021,-1.641,-179.113,-2.420,-2.348
[18:22:12.559] imu_mag3:-1007.476,-85.780,-1539.373
[18:22:12.598] imu_att:-0.065,-0.765,-1.640,-178.991,-2.671,-2.377
[18:22:12.599] imu_mag3:-1004.518,-85.748,-1539.375
[18:22:12.637] imu_att:-0.185,-1.024,-1.642,-179.352,-2.729,-2.440
[18:22:12.638] imu_mag3:-1022.242,-83.869,-1546.580
[18:22:12.677] imu_att:-0.094,-0.026,-1.642,-179.080,-2.703,-2.494
[18:22:12.678] imu_mag3:-1004.513,-85.653,-1546.565
[18:22:12.716] imu_att:-0.140,0.282,-1.628,-179.184,-2.816,-2.537
[18:22:12.717] imu_mag3:-1012.400,-85.698,-1549.641
[18:22:12.758] imu_att:-0.043,-0.196,-1.602,-178.766,-2.729,-2.585
[18:22:12.758] imu_mag3:-994.688,-88.579,-1541.396
[18:22:12.797] imu_att:0.277,-1.277,-1.752,-179.378,-2.615,-2.730
[18:22:12.798] imu_mag3:-992.510,-70.522,-1560.129
[18:22:12.837] imu_att:0.317,-1.470,-2.079,-178.472,-2.038,-2.936
[18:22:12.838] imu_mag3:-978.846,-83.263,-1556.881
[18:22:12.877] imu_att:-0.042,-1.911,-2.364,-179.401,-2.595,-3.061
[18:22:12.877] imu_mag3:-931.460,-79.363,-1588.795
[18:22:12.918] imu_att:-0.476,-3.906,-2.462,179.657,-3.622,-3.161
[18:22:12.919] imu_mag3:-879.166,-76.643,-1602.210
[18:22:12.957] imu_att:-0.510,-5.735,-2.423,179.612,-3.763,-3.231
[18:22:12.958] imu_mag3:-812.108,-77.430,-1637.151
[18:22:12.997] imu_att:-0.318,-7.412,-2.289,179.492,-3.634,-3.199
[18:22:12.998] imu_mag3:-751.874,-71.279,-1679.372
[18:22:13.036] imu_att:-0.282,-9.446,-2.186,-179.416,-3.273,-3.209
[18:22:13.037] imu_mag3:-683.989,-85.272,-1686.406
