# Serial Log - 2026-04-11T15:45:25.750008
# Port: COM24 @ 115200bps
#============================================================
[15:45:34.232] -1130.00,-1473.00,-1347.00
[15:45:34.273] -1127.00,-1431.00,-1383.00
[15:45:34.311] -1117.00,-1420.00,-1420.00
[15:45:34.354] -1100.00,-1412.00,-1485.00
[15:45:34.392] -1066.00,-1423.00,-1502.00
[15:45:34.434] -1041.00,-1423.00,-1526.00
[15:45:34.460] -1032.00,-1423.00,-1526.00
[15:45:34.513] -1032.00,-1457.00,-1551.00
[15:45:34.553] -1027.00,-1436.00,-1536.00
[15:45:34.593] -1017.00,-1426.00,-1533.00
[15:45:34.633] -1020.00,-1443.00,-1541.00
[15:45:34.659] -1020.00,-1443.00,-1541.00
[15:45:34.713] -1017.00,-1433.00,-1551.00
[15:45:34.753] -1005.00,-1428.00,-1553.00
[15:45:34.792] -1017.00,-1420.00,-1543.00
[15:45:34.832] -1035.00,-1431.00,-1538.00
[15:45:34.860] -1030.00,-1417.00,-1543.00
[15:45:34.901] -1020.00,-1415.00,-1531.00
[15:45:34.953] -1020.00,-1428.00,-1548.00
[15:45:34.992] -1022.00,-1436.00,-1543.00
[15:45:35.032] -1020.00,-1436.00,-1538.00
[15:45:35.073] -1015.00,-1447.00,-1546.00
[15:45:35.112] -1010.00,-1441.00,-1538.00
[15:45:35.138] -1010.00,-1447.00,-1548.00
[15:45:35.193] -1012.00,-1452.00,-1526.00
[15:45:35.233] -1005.00,-1438.00,-1543.00
[15:45:35.273] -1020.00,-1426.00,-1551.00
[15:45:35.312] -1020.00,-1420.00,-1541.00
[15:45:35.351] -1027.00,-1407.00,-1541.00
[15:45:35.392] -1038.00,-1370.00,-1538.00
[15:45:35.434] -1058.00,-1298.00,-1536.00
[15:45:35.473] -1095.00,-1243.00,-1538.00
[15:45:35.513] -1148.00,-1103.00,-1522.00
[15:45:35.551] -1168.00,-965.00,-1510.00
[15:45:35.594] -1196.00,-745.00,-1471.00
[15:45:35.633] -1178.00,-550.00,-1446.00
[15:45:35.673] -1132.00,-360.00,-1425.00
[15:45:35.711] -1081.00,-212.00,-1405.00
[15:45:35.754] -1005.00,-91.00,-1415.00
[15:45:35.793] -936.00,2.00,-1412.00
[15:45:35.833] -843.00,105.00,-1415.00
[15:45:35.874] -761.00,168.00,-1407.00
[15:45:35.912] -628.00,247.00,-1405.00
[15:45:35.953] -552.00,276.00,-1435.00
[15:45:35.992] -528.00,276.00,-1456.00
[15:45:36.033] -437.00,318.00,-1481.00
[15:45:36.071] -391.00,313.00,-1492.00
[15:45:36.111] -362.00,310.00,-1510.00
[15:45:36.152] -360.00,302.00,-1520.00
[15:45:36.193] -355.00,283.00,-1533.00
[15:45:36.232] -350.00,290.00,-1538.00
[15:45:36.271] -357.00,302.00,-1526.00
[15:45:36.313] -367.00,278.00,-1528.00
[15:45:36.352] -403.00,266.00,-1512.00
[15:45:36.391] -440.00,262.00,-1531.00
[15:45:36.432] -455.00,252.00,-1520.00
[15:45:36.474] -462.00,245.00,-1533.00
[15:45:36.513] -457.00,238.00,-1526.00
[15:45:36.553] -467.00,250.00,-1517.00
[15:45:36.592] -455.00,255.00,-1520.00
[15:45:36.630] -437.00,271.00,-1512.00
[15:45:36.674] -440.00,273.00,-1507.00
[15:45:36.711] -423.00,297.00,-1505.00
[15:45:36.752] -411.00,286.00,-1505.00
[15:45:36.791] -406.00,286.00,-1507.00
[15:45:36.833] -408.00,286.00,-1507.00
[15:45:36.872] -416.00,281.00,-1507.00
[15:45:36.912] -423.00,271.00,-1502.00
[15:45:36.953] -403.00,283.00,-1502.00
[15:45:36.993] -418.00,276.00,-1515.00
[15:45:37.033] -418.00,273.00,-1515.00
[15:45:37.072] -418.00,276.00,-1517.00
[15:45:37.111] -426.00,273.00,-1522.00
[15:45:37.138] -403.00,266.00,-1515.00
[15:45:37.193] -398.00,273.00,-1531.00
[15:45:37.233] -391.00,281.00,-1533.00
[15:45:37.273] -396.00,286.00,-1517.00
[15:45:37.312] -383.00,278.00,-1520.00
[15:45:37.353] -391.00,283.00,-1526.00
[15:45:37.392] -383.00,290.00,-1515.00
[15:45:37.432] -398.00,292.00,-1502.00
[15:45:37.471] -403.00,290.00,-1517.00
[15:45:37.513] -403.00,290.00,-1517.00
[15:45:37.553] -362.00,297.00,-1520.00
[15:45:37.593] -365.00,292.00,-1517.00
[15:45:37.631] -335.00,313.00,-1533.00
[15:45:37.671] -318.00,302.00,-1515.00
[15:45:37.711] -321.00,318.00,-1510.00
[15:45:37.751] -321.00,310.00,-1522.00
[15:45:37.792] -327.00,313.00,-1515.00
[15:45:37.832] -330.00,323.00,-1517.00
[15:45:37.871] -313.00,321.00,-1515.00
[15:45:37.913] -335.00,313.00,-1507.00
[15:45:37.952] -323.00,310.00,-1497.00
[15:45:37.993] -327.00,297.00,-1522.00
[15:45:38.030] -323.00,316.00,-1517.00
[15:45:38.071] -340.00,307.00,-1515.00
[15:45:38.111] -311.00,310.00,-1517.00
[15:45:38.152] -306.00,318.00,-1526.00
[15:45:38.192] -293.00,305.00,-1531.00
[15:45:38.234] -330.00,300.00,-1526.00
[15:45:38.273] -340.00,302.00,-1526.00
[15:45:38.313] -406.00,297.00,-1510.00
[15:45:38.351] -470.00,257.00,-1512.00
