# Serial Log - 2026-04-11T15:57:40.345316
# Port: COM24 @ 115200bps
#============================================================
[15:57:40.633] -997.00
[15:57:59.465] 1303.00,-112.00,170.00
[15:57:59.466] 1025.00,173.00,231.00
[15:57:59.535] 775.00,321.00,267.00
[15:57:59.551] 437.00,437.00,311.00
[15:57:59.585] 22.00,485.00,345.00
[15:57:59.649] -298.00,435.00,355.00
[15:57:59.665] -547.00,337.00,330.00
[15:57:59.741] -756.00,247.00,298.00
[15:57:59.758] -928.00,145.00,218.00
[15:57:59.824] -1056.00,73.00,133.00
[15:57:59.824] -1153.00,41.00,2.00
[15:57:59.878] -1225.00,36.00,-112.00
[15:57:59.904] -1258.00,12.00,-243.00
[15:57:59.956] -1320.00,-10.00,-365.00
[15:57:59.982] -1347.00,-26.00,-466.00
[15:58:00.033] -1350.00,-46.00,-502.00
[15:58:00.072] -1408.00,-212.00,-716.00
[15:58:00.112] -1440.00,-290.00,-757.00
[15:58:00.151] -1476.00,-463.00,-793.00
[15:58:00.223] -1488.00,-582.00,-770.00
[15:58:00.229] -1498.00,-687.00,-708.00
[15:58:00.270] -1491.00,-806.00,-643.00
[15:58:00.310] -1478.00,-846.00,-595.00
[15:58:00.350] -1473.00,-890.00,-525.00
[15:58:00.390] -1457.00,-903.00,-461.00
[15:58:00.432] -1437.00,-875.00,-415.00
[15:58:00.479] -1422.00,-851.00,-352.00
[15:58:00.501] -1393.00,-806.00,-318.00
[15:58:00.759] -1398.00,-785.00,-291.00
[15:58:00.759] -1371.00,-690.00,-197.00
[15:58:00.761] -1350.00,-587.00,-165.00
[15:58:00.761] -1347.00,-490.00,-195.00
[15:58:00.762] -1378.00,-411.00,-267.00
[15:58:00.762] -1393.00,-371.00,-371.00
[15:58:00.792] -1437.00,-392.00,-486.00
[15:58:00.831] -1445.00,-437.00,-580.00
[15:58:00.921] -1467.00,-582.00,-733.00
[15:58:00.922] -1481.00,-768.00,-835.00
[15:58:00.953] -1445.00,-1012.00,-893.00
[15:58:00.992] -1355.00,-1350.00,-925.00
[15:58:01.032] -1298.00,-1473.00,-927.00
[15:58:01.149] -1112.00,-1778.00,-930.00
[15:58:01.149] -920.00,-1987.00,-917.00
[15:58:01.150] -682.00,-2170.00,-862.00
[15:58:01.191] -411.00,-2298.00,-796.00
[15:58:01.231] -73.00,-2385.00,-690.00
[15:58:01.270] 225.00,-2388.00,-648.00
[15:58:01.311] 543.00,-2335.00,-621.00
[15:58:01.351] 831.00,-2225.00,-623.00
[15:58:01.391] 1120.00,-2035.00,-628.00
[15:58:01.431] 1386.00,-1776.00,-595.00
[15:58:01.471] 1598.00,-1386.00,-568.00
[15:58:01.510] 1690.00,-758.00,-590.00
[15:58:01.544] 1690.00,-758.00,-590.00
[15:58:01.591] 1386.00,57.00,-447.00
[15:58:01.708] 1066.00,392.00,-301.00
[15:58:01.708] 713.00,576.00,-161.00
[15:58:01.708] 316.00,701.00,-68.00
[15:58:01.804] 22.00,697.00,-20.00
